,tweet,label
12049,  user you don t know what you ve got till it s gone how   for  selfish you jesuschristempowerstransformation ask  amwriti   ,0
23075,because black is beautiful   thursday             ,0
19772,hm queen elizabeth  user  queenat90    bihday  your  highness  aist  porait  emergingaist ,0
16268,  user  the  14th amendment   blm discussed here thanks  user     ,1
26681, wtf  what is racism then   would he have done same with a white mother  proof that there is a group that is    ,1
20007, beutiful poetry   poetry  2 lines poetry   eid new poetry  tanhai poetry plz 1 try follow  user   alon sana jan follow  user,0
27956,  user awwww so sad          frozen    cry ,0
7124,good morning             bcktoschool  mondaze ,0
14164,a magical moment                 bride  love  jennypackham  married    husband  wife  france  wedding  bliss            ,0
2611,tomorrow will be my first day back training again here in ep    canfeeltheburnalreadytbh  ,0
17984,  user came home last night to find they my  user tickets have arrived     itsbeentoolong ,0
21651,less than 7 weeks to go   chihuahua   puppy  bellamae    cute  guernsey   holiday  family  collect      ,0
5602,i wanna stream so badly omg       you can still suppo by following    followanyway  twitch,0
22721,  user at the end of the day you gotta be   for you ,0
7812, user   day in boston     ,0
27842,bliss           smiles  moment  laughing   ,0
2843, user snow white      open       sleepy      sneezy and  bashful    or dm us today  ,0
26928,as long as we  seek  happiness we cannot be    as long as we seek   love  we do not understand love  only by  giving we will be happy ,0
23423, user a  nation should not be  judged by how it  treats its highest  citizens  but its lowest ones   nelsonmandela  justice  ra   ,1
18628,i am valued   i am  positive  affirmation     ,0
21581,what a   way to treat who are under the fairuse policy   wtfu ,0
21021, payintheusa   polar bear climb racing  angry polar bear climb racing  the polar bear living in cold place ,0
19225,once upon a time  morning clz time baba love n care scuty  n happy moment      ,0
3032,hello   me    selfie  cold ,0
5246,kevin macdonald   ethnocentrism is normal and rational      race  ethnocentrism  user  altright  pegida,1
30187,more love   orlando  pulsenightclub  onelove  rip    devastated  lovemorehateless    ,0
25520,  user i think i love you a little more everyday        mycuteboyfriend  almostforforever    love    ,0
11814,hey  user prez doesn t like politicians who appear on cable news but presidents on jimmy kimmel and the view are dignified  ,0
7411, model   i love u take with u all the time in ur                                      ,0
28398, wth is wrong with people        restinlove,0
20714,  user think  positive  be   it s a choice choose wisely ,0
14820,pugs probably hate me      ,0
12955,can  lighttherapy help with  sad or  depression      altwaystoheal   healthy is      ,0
26351, user yeh     great to hear  can t wait ,0
29954,almadash   i like to have fun and make happy who so wish    horny  nude  hot  shy  nasty  sexy    naught    ,0
29234,  user chapter 22  thank you lord for allowing me to see another year when so many didn t even get to make it this far                  ,0
7014, user   fewer cookies in a row   rows getting smaller  and half the cookies only have 2 m ms    ,0
30636,when your campers decide to work at camp     imold,0
8974,pure  today in  cologne  everybody looking arabic is kettled  female friends had to leave for better pics of media  presented by gov,1
12671,you might be a libtard if     libtard   sjw  liberal  politics ,1
25655,going to bed with a headache only means one thing   i m in for an even bigger headache all day tomorrow         headache  eyesarehuing,0
19156,how s everybody today   ,0
3243,we think greg is   with his order  don t you                                                                           pls keep voting for    ,0
11980,that trout pout life               pout  girl  photooftheday  lastnight  drinks    brunette  r     ,0
28373,i hate when u say me ur feelings  me follow followme photooftheday  beautiful girl picoftheday smile like4like  ,0
26958,      love  instagood  photooftheday top tags  tbt  cute  me  beautiful  followme    follow    ,0
7810,  user test day  big shoot on thursday   360  360video  vr  music  videoclip   ,0
9457, user the trouble is it s been going on since late 70 s and has always happened   for football but can t be cured   very sad,0
21058,   happy hollidays    by  user on     funny  fun  kids  baby  plays  amusing  joy  family  toon  firststeps  audio,0
31355,you can do 99 good things for some people  but all they remember the one bad thing unintentionally happened by you   worstexperience  ,0
23993,new beer ale     craftbeer  beergeek  ,0
5631,  user  my very first video on youtube     v,0
28698,super late upload    vacation    ,0
30477,  user updated           book  wattpad  poetry  verse  poem  poems  smile   ,0
1814,  user not even one example  let me guess  you re not allowed to or are too fearful to speak of  islam  such is a    cliche,0
26966, throwback  thursday  liverpool  thecavernclub and  user  tourist  tshi     the    ,0
30074,in bluntly  language   cologne  police  user here announces racial profiling at main station  ,1
