,tweet,label
0,cont day 3 of 4 d dl2016 downloadfestival metal smiling beard goodtimes blog awesome megadeth,0
1,aymtracklist no seasoned aist vocals kahik chimayi shakthishreegopalan,0
2, mcconnell obstruction goes all the way back to when he discovered obama was black,1
3,  stop teasing us with these pics i m not sleeping at night giddykipper,0
4,the reason  is said to be mr perfectionist is proved yet again dangal legend,0
5,  anyone else notice most of the suppoers are pageant girls with years to internalize a female oppressiv,0
6,how is it that a man comes in last in a race but he is declared a winner putinschoice putinspuppet retweet,1
7,please just stop,1
8, video  on hateful liberals america has had enough of this crap ,1
9,team phit panda would like to wish all the fathers out there a fathersday,0
10, this is awesome but as a historian in croydon i m disappointed i knew nothing about heritage fest ,0
11,the latest the blicqer daily thanks to    marketing,1
12,book enduring conviction fred korematsu his quest for justice humanrights ht,1
13,anyone has a right 2 question foreign parentage mccain was questioned and accused by democrats  ,1
14,when you dance like no tomorrow with your baby sister evavlachava pay time,0
15, pastor maimane won t respond to that zille is his boss and she literally made him he will kiss his job goodbye shou,1
16,buffalo school board moves to oust controversial  ally for remarks trumpocalypse,1
17, allahsoil jews christians and muslims all believe that good will prevail cnn bbc msnbc 2017in3words,1
18, azealia banks jimmy mcmillan james david manning usa clinton trump o,1
19,the end selectivo2016 adiosexamenes instavideo video nice cool me,0
20,who had that 4 blackpeople beat up a whiteperson so isn t that no 3 bp might make it 2 cou alive but serve life somehow vs,1
21,  you re a disgusting,1
22, well said staywoke,1
23,boob marathi nude women,1
24,  commercial showing inter racial couple attacked by  amerikkka suppoers,1
25,black hair comes in different styles in slavery colonialism and in policing colonialism slavery tie,1
26, you don t think w will share guarani aquifer water w those who humiliated little brother ,1
27, my story how race and have played a role in my life,1
28, louisville kentucky woman goes on rant at jcpenny exposeracism ignorance,1
29, sunday mike       ,0
30,koreans joseon people in japan will abuse the for claims of own rights by rough demo aberdeen,1
31,3rs for your weekend r relax r rewind r rejuvenate love family poetry music gardening yoga childcare prayer thankyou,0
32, this white crowd turned its back on an all black basketball team at a high school game trump,1
33,get up get get enjoy music today free apps free music,0
34, 711 had no sharkweek straws or cups for slurpees scubadiver simplejoys nothappy,0
35, will do another show in december in anaheim stay tuned ,0
36,i am sunny i am positive affirmation,0
37,i know i am supposed to be happy and chirpy but i feel horrible i cant provide for myself let alone my wife to be sigh,0
38,white girl has sex with black guy nude newzeeland porns,1
39, where on eah is pastor mmusimaimane is he perhaps in prayer meditation on how to respond with spin to this,1
40, just another day in america,0
41, reject news my latest amwriting aicle on ,1
42,facce da set thereaping thereapingtheseries comingsoon smile funny,0
43, hey  what is going to be done about this teacher making statements malvern arkansas,1
44, allahsoil reagan convinced ksa to flood the market and drive oil prices to historic lows,1
45,  and being a ww i feel culpable 4 deeply entrenched systemic that exists so i do all i can to dismantle,1
46,dear politicians media this jind insident is not but a matter of humanrights safety of women in india,1
47,sharing ice cream sun love outdoors picnic summer family daughter father desse icecream,0
48,come on n wake the eff up usa this is craziness does it all stem from n hatred of obama it seems like,1
49,i am not usually affected like this when these things happen christinagrimmie tooyoungtodie,0
50,y is so afraid if they have done nothing wrong salla pura u th barbad kaa kutteya ney badals udtapunjab,0
51,are you hispanic like the are stomping on you listen retweet boricua miami,1
52, why is it illegal to show topless photos of women but legal to write comments stopracism facebook,1
53, oh my god! a movie,0
54,joy to the world instead of terrorism hate and wars waronchristmas spreadlovethischristmas love,1
55,multiple types of racism in america us america,1
56,  so this is how it ends,0
57, lanasprayberry should be fired if she thinks choking a child and the wrongful arrest of the parent is acceptable,1
58,adveisments naked fucking whores,1
59,irda gives nod to lic to invest in psbs,0
60, back to open misogyny bigotry childlabor,1
61,always like to suppo our peeps ameliacaruso a suppolocalaists,0
62, we might be going to hell but we re not surprised at versace,1
63,listening to sad songs on a monday morning otw to work is sad,0
64,cooling down after a work out sillyboy appochaddie horse mylove prado equestrian,0
65,want a lesson in and hypocrisy imagine if obama had 5 kids by 3 different women and bragged about grabbing pussies donaldtrump,1
66,augusta buffalo simulation buffalo for you to take in the vicinity of their homes to do in this way yo,0
67, allahsoil enlightenment is wasted on the wilfully blind emiratis 2016in4words,1
68, allahsoil islamic extremism kills tens of thousands of people every year teambts,1
69,long holidays have just begun wiz rainy day dragon boat festival niftycap simplysmile stayawesome,0
70,busy day tomorrow yay listings letsgo realtorgirl durham realestatelife realestate,0
71, it is true these modeling agencies won t want shit to do with you unless you 20k up on followers on ig and twitter smh s,0
72, keep standing your ground interview represents fakenews blatant misrepresentation of valid statement,1
73,word factory race denial prevents healing southafrica leadership transformation inequality 9,1
74,  please stop calling yourself canada s iconic dept store nothing iconic about suppoing,1
75,no comment in australia opkillingbay seashepherd helpcovedolphins thecove redcove,1
76,how the supremecou has made it impossible to challenge systemicracism scotus kaepernick stereotypes,1
77,people aren t protesting trump because a republican won they do so because trump has fuhered,1
78,another successful school year in thr books time for lunch woot woot tacosforlunch wemadeit lastdayofschool teachers,0
79,   murdo can you confirm the original date of the opening clue end of next year amateurhour,0
80,cheers to letting go thefall d aer video funny freefall sergi istanbul,0
81,the search for the toddler who was grabbed by the alligator at disney has switched from rescue to recovery so,0
82,fo woh officer in viral arrest video was rude not racist chief crime officer,1
83, you might be a libtard if libtard sjw liberal politics,1
84,san diego father says gators at disney also went after his son cbs miami scary to live in fl,0
85,each of my relationships has taught me something and now each lesson has prepared me now for the moments ahead sogeeked,0
86,    they have a wildlife team that identifies removes gators wildlife,0
87,there are two primary choices in life denis waitley leadership quote inspirational,0
88,sirf ashiq log folow kro eid poetry best poetry love poetry poetry dukhi poetry udas ghazal follow  f ,0
89,  your ignorance whiteprivilege and whitefragility is egregious don t dare speak 4 rest of canada,1
90,     most boys can use a drill really,1
91,mean cruel talkradio hosts like  make it impossible 4 person of color like me 2 feel american,1
92,   i m not i just hate those muzzies,1
93,there is no doubt my mood and attitude completely changes with just a simple workout noattitude ilift runnergirl,0
94,i am thankful for sunshine thankful positive,0
95,you might be a libtard if libtard sjw liberal politics,1
96,new website coming soon,0
97,chick gets fucked videos of big asses havin sex,1
98,last friday but we must learn dammit boring,0
99,model i love u take with u all the time in ur,0
100,when you re only friend is your boyfriend,0
101,are you hispanic feel the are stomping on you listen retweet boricua miami,1
102,well done ,0
103, newyear wish list of cretin carlpaladino election co chairman of presidentelect trump on mr mrs,1
104, this thread is the fully bomb racism is the most effective weapon of white supremacy it has no i test in being di,1
105, what about black tea ,1
106,wahhhh white ppl arent allowed to do this fuck you rich we don t care,1
107,going to twenty one pilots conce on july 12,0
108,sex blonde free stepdad porn,0
109, blacklivesmatters lanasprayberry another in a position of authority has got to go blacktwitter,1
110, can lighttherapy help with or depression altwaystoheal healthy is happy,0
111, if you are one of the 64 2 mil americans who rejected bigotry hatred fly your flag half mast on jan,1
112,nigger lifelessons of a white kid who grew up in the 60 s blogpost whitepeople respect,1
113, absolutely disgusting,1
114, is this what your university stands for hate ignorance stupidity lies mdcollege,1
115,ty angie beautiful pic         weekend,0
116, racial differences r biological reality same as rottweilers vs chihuahuas iq 95 should understand,1
117,schoolflow polar bear climb racing angry polar bear climb racing the polar bear living in cold places l,0
118,eclipse be happy ng041 web 2005 ukhx int next generation web hardcore 1gabba vk,0
119,this govt has a lot to answer they are very racist,1
120,this is everything the next 4 years will be neverump pussygrabberinchief idiocracy,1
121, white people black people brown people good evil is not a color race blog,1
122,the idiocy of feminism they actually think microaggressions matter here s the proof,1
123,i guess to trump suppoers ignorance is indeed bliss trumptaxes trumplies trumptaxcheat trumpuniversity,0
124, snatch that wig off james brown head get her out,1
125,prairie dog by ejrbakker animals wildlife family prairie dog mother with children via geniushowto c,0
126,i miss you darling locutorio lyrics love,0
127,  more americans hate him,1
128,quizzes you have to pass university latvia bruno nofilter today,0
129,tired and workedout pibble needs a nap girlpower,0
130,heading to graduation  mechtechplumbing futureplumber proudmama,0
131,great country australia and israel australian opkillingbay thecove shabbatshalom ,1
132,it s never too late to have a childhood berke breathed,0
133, britt with one of her best friends  so cute brittanymurphy tarynmanning bestfreinds,0
134,marco rubio has no consideration close to now rwnj weirdo,1
135, obama has been the most destructive president in history that is his legend isis iran copkiller syria  more,1
136, check out all the stars who made our sister team ,0
137,nigelfarage for too many years any criticism of immigration or its effects on society have been shut down by,1
138, semi finals bend ore owen wild sp win to get there ship father s day,0
139, obama suppoing communism islam which is another as deadly ideology isn t bout race only suppoing nazi,1
140, nice to meet you summer losangeles live hello photography studio longhair,0
141,today s the day wales v england togetherstronger cmoncymru,0
142,father s day to all the homies the ritz carlton south beach,0
143,good afternoon sweety send me letter,1
144,i am impressive i am positive affirmation,0
145,  don t think it s awarded for bigotry or being being a self centred dick,1
146, school board seeks to oust member for jabs at obama,1
147,critics threaten boycotts of simon schuster over milo yiannopoulos book deal the huffington post,1
148,treat yourself to naturalskincare products beautytreatments from award winning  today harleystreet,0
149,when in your teamspeak channels are empty,0
150,thankyoustudio animal photographer instagram registered for the campaign thankyoustudio,0
151,hey carmelvalley come by and shopsmall with us because every day is better with steaks hour,0
152, classy ,1
153, a dystopian tale of radicalisation revenge preorder for 99c 99p,1
154,is a very profitable thing im america,1
155,had a good weekend with isobelllllllllll 5 days until our holidayyyy wildlife,0
156, you might be a libtard if libtard sjw liberal politics,1
157,getting noo message izz alsoo a message silent,0
158, i freaking love this selfies alldayeveryday if it makes you goodhairday makeup onpoint selfie,0
159,i can t believe that they don t show blazing saddles on tv any more just because the lead actor is a black man that s,1
160, strangely silent on the idiotic statement by  not surprised twonitwittrumpsuppoers,1
161,get over it the world keeps spinning,1
162,winterfashion bull up you will dominate your bull and you will direct it whatever you want it to do whe,0
163,new release slime school fundraising games kickstaercampaign indiedev apple action ios,0
164, feminismiscancer feminismisterrorism feminismmuktbharat why malevote is ignored ,1
165,with love in our heas we can change the world after all as the saying goes love makes the world go round,0
166,i am sparkling i am positive affirmation,0
167,sitbackandrelax maytheforcebewithyou selfie airpo byebyebelgium brussels airpo,0
168, good night faith always vaitacacommafiasdv,0
169, so far all the blog comments claim senad lulic statement wasn t racist join the debate lazio,1
170,mma fans losses don t matter it s great mma fans about rhonda rousey she s lost twice she is trash doublestandards,1
171,  shocked to learn from  that apaheid police toured some female activists through nipple electrocutio,0
172,putin netanyahou have been talking on the phone what s the thug obama think about that oh who,1
173,just like waronwomen guncontrol  need russia to be the bad guy as an excuse for their bad ideology tlot p2,1
174,what a stellar year it s been for,1
175, more fantastic manchester blogs about  productions have a read of  writer below,0
176, can t believe dhoni couldn t able to win this easy match indvszim 6balls 8runs dhoni lost his form has he grow,0
177,take risks if you win you will be if you lose you will be wise orlando,0
178, this is really telling microaggressions race whiteprivilege antiblackness,1
179,todays donkey zionazis are proud of murdering real palestinian semitic children thats what i call,1
180,at a loss of words in the name of faith american pastor makes outrageous comments,0
181,antics are purposedly used by liberals to divide us wakeupamericaca,1
182,small brains just close eyes vote for lunatics    kkk breitba altright,1
183,happy euro day,0
184,this guy is a lunatic an angry ignorant and vicious man,1
185, blogger food love lifestyle happiness figure perfect style cleaneating bodycleanse smile,0
186,destroyed in one minute janeelliot,1
187,  just ordered two spf15 with bronzes and lip balm australiangold,0
188,retweet if you agree,1
189,todays donkey zionazi is proud of murdering real palestinian semitic children thats what i call,1
190,we re also not upset we lost because we won by any measure other than a useless appendix of government tha,1
191,gracemugabe is just as as her husband mugabe zimbabwe    ,1
192,aarakshan hindustan fathers n teachers day,0
193,       no u don t did u not single out a race,1
194, you might be a libtard if libtard sjw liberal politics,1
